Name	Cluster	desc	GID	PID1	PID2	PID3	H_Count	H_pos	H_Count_Disorder	H_pc_Disorder	G_Count	G_pos	G_Count_Disorder	G_pc_Disorder	D_Count	D_pos	D_Count_Disorder	D_pc_Disorder	GO
HORMAD1	NA	HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245]	ENSG00000143452	ENSP00000355167	ENSGALP00000023568	ENSDARP00000058887	3	18,147,224	72	23	3	147,224,319	118	43	4	146,245,308,350	120	39	GO:0005515,GO:0001824,GO:0051598,GO:0048477,GO:0060629,GO:0007283,GO:0000795,GO:0007130,GO:0005694,GO:0007126,GO:0005634,GO:0042138,GO:0000794,GO:0007129,GO:0051177
PLEKHM3	NA	pleckstrin homology domain containing, family M, member 3 [Source:HGNC Symbol;Acc:HGNC:34006]	ENSG00000178385	ENSP00000417003	ENSGALP00000013802	ENSDARP00000046879	5	98,184,205,340,369	67	18	5	67,98,203,261,305	45	13	4	153,174,292,438	114	29	GO:0035556,GO:0046872,GO:0005622
PIK3C3	NA	phosphatidylinositol 3-kinase, catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	ENSG00000078142	ENSP00000262039	ENSGALP00000014428	ENSDARP00000140004	3	161,194,208	28	19	4	161,194,208,265	50	24	3	160,202,216	34	21	GO:0008286,GO:0000910,GO:0030496,GO:0036092,GO:0034271,GO:0005930,GO:0000045,GO:0005829,GO:0043201,GO:0034272,GO:0035032,GO:0006644,GO:0016020,GO:0005515,GO:0006661,GO:0016236,GO:0032465,GO:0006468,GO:0035004,GO:0046854,GO:0045335,GO:0045087,GO:0004672,GO:0045022,GO:0034162,GO:0030242,GO:0042149,GO:0005737,GO:0044281,GO:0005770,GO:0016773,GO:0005488,GO:0007032,GO:0000407,GO:0016303,GO:0016485,GO:0050708,GO:0016772,GO:0005524,GO:0002224,GO:0005777,GO:0016301,GO:0006897,GO:0048015
EPHA3	1	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	ENSG00000044524	ENSP00000337451	ENSGALP00000024798	ENSDARP00000021706	3	88,99,116	0	0	5	19,87,98,115,277	4	1	5	786,797,886,902,942	11	4	GO:0016772,GO:0097156,GO:0070507,GO:0005576,GO:0005524,GO:0007169,GO:0004713,GO:0010976,GO:0005004,GO:0018108,GO:0005769,GO:0032956,GO:0007155,GO:0043087,GO:0071300,GO:0005886,GO:0005515,GO:0005887,GO:0007411,GO:0048013,GO:0016477,GO:0006468,GO:0004672,GO:0016021,GO:0010717,GO:0005003,GO:0051893,GO:0097155
DDIAS	NA	DNA damage-induced apoptosis suppressor [Source:HGNC Symbol;Acc:HGNC:26351]	ENSG00000165490	ENSP00000435421	ENSGALP00000000096	ENSDARP00000104984	6	231,273,303,304,385,459	82	25	4	57,231,320,329	27	7	5	30,57,101,133,280	52	14	GO:0034644,GO:0030097,GO:0005737,GO:0005634,GO:0006915,GO:0071480,GO:0071850,GO:2000270,GO:0006974,GO:0007286,GO:0071345,GO:0071447
SUPT5H	NA	suppressor of Ty 5 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:11469]	ENSG00000196235	ENSP00000470252	ENSGALP00000023081	ENSDARP00000062675	4	29,146,189,318	135	34	4	31,143,186,315	129	33	4	188,317,385,445	27	7	GO:0032785,GO:0005515,GO:0045944,GO:0005654,GO:0010033,GO:0016032,GO:0006338,GO:0019899,GO:0006354,GO:0003682,GO:0000122,GO:0006370,GO:0006368,GO:0039692,GO:0010467,GO:0046982,GO:0006355,GO:0006357,GO:0032786,GO:0007049,GO:0032044,GO:0016239,GO:0005634,GO:0032784,GO:0044822,GO:1900364,GO:0006366,GO:0050434
PYROXD1	NA	pyridine nucleotide-disulphide oxidoreductase domain 1 [Source:HGNC Symbol;Acc:HGNC:26162]	ENSG00000121350	ENSP00000240651	ENSGALP00000021481	ENSDARP00000132565	2	211,276	21	12	3	194,210,221	23	18	3	142,211,246	9	4	GO:0055114,GO:0016491,GO:0005515
B3GALNT2	NA	beta-1,3-N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:28596]	ENSG00000162885	ENSP00000355559	ENSGALP00000022570	ENSDARP00000067823	2	239,340	0	0	2	291,337	0	0	3	113,262,411	6	1	GO:0005783,GO:0006493,GO:0008375,GO:0008378,GO:0006486,GO:0008376,GO:0016021,GO:0000139,GO:0016020
RTEL1	NA	regulator of telomere elongation helicase 1 [Source:HGNC Symbol;Acc:HGNC:15888]	ENSG00000258366	ENSP00000353332	ENSGALP00000009867	ENSDARP00000105420	4	1004,1114,1179,1287	223	58	7	863,907,916,935,1016,1086,1129	154	42	3	63,126,165	0	0	GO:0005515,GO:0006310,GO:0010569,GO:0003677,GO:0003676,GO:0006260,GO:0016818,GO:0051539,GO:0004003,GO:0006281,GO:0046872,GO:0008152,GO:0032508,GO:0005524,GO:0008026,GO:0016787,GO:0005634,GO:0006139,GO:0044281,GO:0000723
REM1	NA	RAS (RAD and GEM)-like GTP-binding 1 [Source:HGNC Symbol;Acc:HGNC:15922]	ENSG00000088320	ENSP00000201979	ENSGALP00000038582	ENSDARP00000005231	6	15,31,92,165,247,273	107	29	6	88,153,227,311,320,337	140	40	5	15,88,163,253,260	81	23	GO:0005516,GO:0015031,GO:0016020,GO:0005622,GO:0005525,GO:0007264,GO:0007165
NCAPD3	NA	non-SMC condensin II complex, subunit D3 [Source:HGNC Symbol;Acc:HGNC:28952]	ENSG00000151503	ENSP00000433681	ENSGALP00000002259	ENSDARP00000049571	7	742,806,910,938,970,995,1013	20	5	5	907,967,992,1108,1151	28	8	3	10,156,222	34	10	GO:0016020,GO:0005515,GO:0051301,GO:0000799,GO:0007076,GO:0005654,GO:0031618,GO:0000278,GO:0000793,GO:0042585,GO:0035064,GO:0005488
ADAR	2	adenosine deaminase, RNA-specific [Source:HGNC Symbol;Acc:HGNC:225]	ENSG00000160710	ENSP00000357459	ENSGALP00000039924	ENSDARP00000115965	5	935,951,1107,1121,1142	13	4	6	785,804,960,974,1011,1031	16	4	4	238,247,319,393	110	43	GO:0009615,GO:0005654,GO:0003677,GO:0001649,GO:0045087,GO:0060337,GO:0016020,GO:0005515,GO:0044530,GO:0035280,GO:0031054,GO:0006397,GO:0006611,GO:0044387,GO:0005730,GO:0016556,GO:0061484,GO:0045070,GO:0060216,GO:0001701,GO:0035455,GO:0035196,GO:0006396,GO:0004000,GO:0016553,GO:0043066,GO:0019221,GO:0030218,GO:0046872,GO:0045071,GO:0002566,GO:0003723,GO:0060339,GO:0051607,GO:0010467,GO:0006606,GO:0003726,GO:1900369,GO:0005634,GO:0044822,GO:0002244,GO:0005737,GO:0006382
GAREM	NA	GRB2 associated, regulator of MAPK1 [Source:HGNC Symbol;Acc:HGNC:26136]	ENSG00000141441	ENSP00000269209	ENSGALP00000024451	ENSDARP00000024393	4	217,304,384,481	105	28	4	217,304,384,483	76	20	4	217,359,360,406	33	11	GO:0005886,GO:0005515,GO:0008284,GO:0071364,GO:0070064,GO:0070374,GO:0007173,GO:0051781
GRM7	8	glutamate receptor, metabotropic 7 [Source:HGNC Symbol;Acc:HGNC:4599]	ENSG00000196277	ENSP00000350348	ENSGALP00000013560	ENSDARP00000137940	3	128,339,374	20	5	3	142,353,388	15	4	2	93,105	14	12	GO:0030165,GO:0007194,GO:0016595,GO:0005245,GO:0042734,GO:0010855,GO:0007186,GO:0014050,GO:0008066,GO:0007613,GO:0019226,GO:0001642,GO:0070588,GO:0050877,GO:0007268,GO:0048786,GO:0030818,GO:0004930,GO:0045211,GO:0001661,GO:0005509,GO:0007605,GO:0033555,GO:0043198,GO:0051966,GO:0007608,GO:0005886,GO:0005887,GO:0001662,GO:0031279,GO:0007196,GO:0007614,GO:0030425,GO:0043235,GO:0008306,GO:0032279,GO:0005938,GO:0030534,GO:0016021,GO:0070905,GO:0030424,GO:0005246
DOCK5	NA	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]	ENSG00000147459	ENSP00000276440	ENSGALP00000000412	ENSDARP00000140160	5	422,513,527,612,616	8	2	8	1622,1670,1709,1757,1776,1839,1864,1865	189	55	5	1667,1706,1762,1792,1856	202	69	GO:0007264,GO:0043547,GO:0005085,GO:0005515,GO:0005622,GO:0005737,GO:0005488
KCNB1	NA	potassium channel, voltage gated Shab related subfamily B, member 1 [Source:HGNC Symbol;Acc:HGNC:6231]	ENSG00000158445	ENSP00000360806	ENSGALP00000033591	ENSDARP00000127890	7	491,515,547,657,697,739,784	249	63	5	491,515,547,655,782	210	53	5	314,485,490,512,545	121	36	GO:0046676,GO:0007268,GO:0005249,GO:0032182,GO:0071805,GO:0032809,GO:0044281,GO:0010701,GO:0001508,GO:0007215,GO:0098900,GO:0006813,GO:0032590,GO:0008076,GO:0045956,GO:0051260,GO:0006811,GO:0046982,GO:0005251,GO:0044325,GO:0033605,GO:0042593,GO:0030425,GO:1900454,GO:0031669,GO:0030424,GO:0006904,GO:0043204,GO:0016021,GO:0090314,GO:0015271,GO:0050796,GO:0071333,GO:0043025,GO:2000671,GO:0045211,GO:0055085,GO:0005216,GO:0034765,GO:0047485,GO:0005886,GO:0051259,GO:0005515,GO:0016020,GO:0006112
PDS5A	NA	PDS5 cohesin associated factor A [Source:HGNC Symbol;Acc:HGNC:29088]	ENSG00000121892	ENSP00000303427	ENSGALP00000023059	ENSDARP00000140465	4	34,221,232,254	0	0	2	226,248	0	0	3	228,250,432	0	0	GO:0005488,GO:0000278,GO:0005694,GO:0007064,GO:0008156,GO:0005829,GO:0000785,GO:0005654,GO:0000775,GO:0051301,GO:0005886,GO:0005515
GAS7	8	growth arrest-specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	ENSG00000007237	ENSP00000407552	ENSGALP00000000499	ENSDARP00000134671	6	106,121,149,278,290,373	164	44	5	106,166,275,287,370	134	36	5	40,123,145,157,241	60	19	GO:0051015,GO:0048812,GO:0030041,GO:0005515,GO:0005884,GO:0001726,GO:0003700,GO:0005737,GO:0051017,GO:0007050,GO:0030182,GO:0008360,GO:0006355
SEPN1	NA	selenoprotein N, 1 [Source:HGNC Symbol;Acc:HGNC:15999]	ENSG00000162430	ENSP00000355141	ENSGALP00000001479	ENSDARP00000119529	2	468,517	2	1	3	260,275,408	6	2	4	246,406,436,485	28	8	GO:0014873,GO:0007005,GO:0008150,GO:0005509,GO:0033555,GO:0034599,GO:0014816,GO:0003016,GO:0005515,GO:0071313,GO:0048286,GO:0048741,GO:0043403,GO:0003674,GO:0014858,GO:0005789
SEPN1	NA	selenoprotein N, 1 [Source:HGNC Symbol;Acc:HGNC:15999]	ENSG00000162430	ENSP00000355141	ENSGALP00000001479	ENSDARP00000119529	2	468,517	2	1	3	260,275,408	6	2	4	246,406,436,485	28	8	GO:0005789,GO:0014858,GO:0043403,GO:0003674,GO:0048286,GO:0048741,GO:0005515,GO:0003016,GO:0071313,GO:0005509,GO:0008150,GO:0033555,GO:0014816,GO:0034599,GO:0007005,GO:0014873
LAMTOR2	NA	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]	ENSG00000116586	ENSP00000357288	ENSGALP00000028979	ENSDARP00000058324	2	42,95	0	0	2	18,71	0	0	2	42,95	0	0	GO:0005765,GO:0016049,GO:0000186,GO:0005770,GO:0070062,GO:0071986,GO:0005515,GO:0005085,GO:0032008,GO:0043547,GO:0034613,GO:0032947,GO:0071230
HSPA4L	NA	heat shock 70kDa protein 4-like [Source:HGNC Symbol;Acc:HGNC:17041]	ENSG00000164070	ENSP00000296464	ENSGALP00000016536	ENSDARP00000127657	3	60,125,152	0	0	4	460,560,652,759	175	43	4	60,125,152,359	0	0	GO:0005737,GO:0005634,GO:0006986,GO:0005524,GO:0006457,GO:0005829,GO:0005515
SEMA7A	NA	semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741]	ENSG00000138623	ENSP00000261918	ENSGALP00000002150	ENSDARP00000109895	3	225,346,432	42	13	4	201,255,261,406	55	18	3	34,274,294	7	1	GO:0001649,GO:0001934,GO:0009897,GO:0007411,GO:0016020,GO:0005515,GO:0005886,GO:0007229,GO:0048675,GO:0031225,GO:0045773,GO:0050727,GO:0021988,GO:0070374,GO:0031175,GO:0006954,GO:0006955,GO:0005178,GO:0060907
TYMS	NA	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	ENSG00000176890	ENSP00000315644	ENSGALP00000023982	ENSDARP00000047068	2	63,92	17	13	2	62,91	26	20	2	68,97	2	1	GO:0007568,GO:0032259,GO:0045471,GO:0003729,GO:0005829,GO:0042493,GO:0051384,GO:0005759,GO:0046078,GO:0005730,GO:0000166,GO:0006231,GO:0004799,GO:0033189,GO:0005743,GO:0006235,GO:0005542,GO:0005654,GO:0042803,GO:0000083,GO:0014070,GO:0031100,GO:0007623,GO:0019860,GO:0048589,GO:0034097,GO:0000082,GO:0046134,GO:0005739,GO:0046683,GO:0000278,GO:0005634,GO:0005737,GO:0006139,GO:0009636,GO:0044281,GO:0051593,GO:0032570,GO:0009157,GO:0048037,GO:0046653,GO:0051216,GO:0019088,GO:0006206,GO:0008144,GO:0060574,GO:0055086
AVL9	NA	AVL9 homolog (S. cerevisiase) [Source:HGNC Symbol;Acc:HGNC:28994]	ENSG00000105778	ENSP00000315568	ENSGALP00000019901	ENSDARP00000137083	3	110,241,359	126	36	3	84,110,241	46	17	2	104,235	23	9	GO:0016021,GO:0016477,GO:0055037
CILP	2	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase [Source:HGNC Symbol;Acc:HGNC:1980]	ENSG00000138615	ENSP00000261883	ENSGALP00000011886	ENSDARP00000069881	5	290,494,515,522,559	4	1	8	112,142,155,164,372,378,399,406	4	1	5	860,1025,1116,1145,1156	104	26	GO:0005578,GO:0031012,GO:0005615,GO:0043569,GO:0005515,GO:0070062
PDGFC	NA	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	ENSG00000145431	ENSP00000422464	ENSGALP00000015259	ENSDARP00000069196	2	68,339	29	7	2	28,68	19	13	2	66,156	20	10	GO:0005576,GO:0005788,GO:0005634,GO:0005737,GO:0051781,GO:0005615,GO:0009986,GO:0050730,GO:0060348,GO:0048565,GO:0048146,GO:0005161,GO:0000139,GO:0016020,GO:0005886,GO:0005515,GO:0042803,GO:0070062,GO:0048008,GO:0009790,GO:0009887,GO:0045740,GO:0007417,GO:0071230,GO:0008284,GO:0007171,GO:0008083
HYOU1	NA	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]	ENSG00000149428	ENSP00000480150	ENSGALP00000039757	ENSDARP00000090804	2	93,130	0	0	2	628,684	124	79	3	674,874,903	170	51	GO:0006898,GO:1903298,GO:0005783,GO:0051087,GO:0071682,GO:0005576,GO:0005524,GO:0030968,GO:0002931,GO:0005925,GO:0005788,GO:0005790,GO:0043066,GO:0036498,GO:0034976,GO:0034663,GO:0016020,GO:0044267,GO:0070062,GO:1903382,GO:0071456
AKAP6	10	A kinase (PRKA) anchor protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	ENSG00000151320	ENSP00000280979	ENSGALP00000016220	ENSDARP00000100004	7	1591,1629,1650,1664,1808,1863,1878	128	33	5	1593,1631,1652,1666,1810	75	23	6	1192,1355,1389,1394,1414,1432	152	44	GO:0032947,GO:0071320,GO:0061051,GO:0034704,GO:1902261,GO:0060306,GO:0060316,GO:0031965,GO:0006605,GO:0071345,GO:0005635,GO:0005901,GO:0051533,GO:0032514,GO:0051281,GO:0005515,GO:0048471,GO:0030315,GO:0070886,GO:0010880,GO:0034237,GO:0030818,GO:1901381,GO:0010738,GO:0016529,GO:0001508,GO:0005737,GO:0051018,GO:0043495,GO:0014704,GO:0030307,GO:0019933,GO:0014701,GO:0008179,GO:0044325
SCFD1	NA	sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]	ENSG00000092108	ENSP00000390783	ENSGALP00000016108	ENSDARP00000139405	4	17,34,213,236	17	5	4	7,24,203,226	19	5	4	7,24,226,280	31	8	GO:0006904,GO:0051223,GO:0006892,GO:1901998,GO:0016192,GO:0005515,GO:0060628,GO:0005886,GO:0047485,GO:0017119,GO:0031201,GO:0005801,GO:0006909,GO:0015031,GO:0032580,GO:0009636,GO:0005623,GO:0001666,GO:0006890,GO:0005798,GO:1902902,GO:0019905,GO:0000902,GO:0005789
SNX2	NA	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]	ENSG00000205302	ENSP00000368831	ENSGALP00000008547	ENSDARP00000141472	3	162,166,293	27	11	4	18,27,239,243	236	72	5	123,149,186,281,366	55	16	GO:0005158,GO:0035091,GO:1990459,GO:0005737,GO:0043231,GO:0034498,GO:0072673,GO:0005768,GO:0010008,GO:1990460,GO:0006897,GO:0043234,GO:0006886,GO:0019898,GO:0031901,GO:0030904,GO:0005154,GO:0016050,GO:0070062,GO:0030027,GO:0042147,GO:0016020,GO:0005515,GO:0051259
TLR7	NA	toll-like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]	ENSG00000196664	ENSP00000370034	ENSGALP00000035830	ENSDARP00000105671	3	356,448,501	0	0	5	764,765,952,969,1010	0	0	3	800,883,1009	0	0	GO:0005783,GO:0006954,GO:0034162,GO:0034154,GO:0005737,GO:0005768,GO:0045416,GO:0010008,GO:0032722,GO:0007252,GO:0045356,GO:0005789,GO:0035197,GO:0001774,GO:0032755,GO:0051607,GO:0008144,GO:0002224,GO:0036020,GO:0043235,GO:0032009,GO:0042346,GO:0007165,GO:0003725,GO:0016021,GO:0003727,GO:0050729,GO:0045359,GO:0004888,GO:0071260,GO:0045087,GO:0001932,GO:0032757,GO:0005764,GO:0005515,GO:0005886,GO:0002755,GO:0045078,GO:0000139
KDM1A	1	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	ENSG00000004487	ENSP00000383042	ENSGALP00000001231	ENSDARP00000080193	4	617,631,670,767	5	2	4	524,538,577,674	2	0	3	78,160,345	154	41	GO:0050681,GO:0001701,GO:0030851,GO:0007596,GO:0019899,GO:0055114,GO:0006325,GO:0021983,GO:0032091,GO:0003682,GO:0000122,GO:0051573,GO:0051091,GO:0007264,GO:0043518,GO:0046886,GO:2000648,GO:1902166,GO:0032454,GO:0032453,GO:0050660,GO:0006482,GO:0034648,GO:0005515,GO:0003677,GO:0008283,GO:0005654,GO:0045944,GO:0016491,GO:2000179,GO:0032452,GO:0002039,GO:0044212,GO:0003700,GO:0005634,GO:0000790,GO:0045654,GO:0055001,GO:0034720,GO:0033169,GO:0010725,GO:0051572,GO:0045648,GO:0032451,GO:0030374,GO:0043426,GO:0043433,GO:0045892,GO:0008134,GO:0006355,GO:0006357,GO:0001085,GO:0006351,GO:0005667,GO:0043392
CHFR	NA	checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:20455]	ENSG00000072609	ENSP00000392395	ENSGALP00000003409	ENSDARP00000099431	5	145,201,236,334,394	228	65	4	147,274,338,398	197	56	2	307,565	47	13	GO:0031398,GO:0007093,GO:0006511,GO:0005634,GO:0000278,GO:0008270,GO:0019941,GO:0004842,GO:0016874,GO:0031648,GO:0032436,GO:0000166,GO:0000209,GO:0051301,GO:0005515,GO:0007067,GO:0016605,GO:0061630
LRP2	NA	low density lipoprotein receptor-related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	ENSG00000081479	ENSP00000263816	ENSGALP00000017630	ENSDARP00000141496	4	4528,4587,4605,4642	112	52	3	2365,2518,2561	0	0	5	1753,1858,1954,2013,2051	14	3	GO:0043235,GO:0031526,GO:0042359,GO:0008202,GO:0060070,GO:0005794,GO:0016324,GO:0016021,GO:0005903,GO:0008283,GO:0006766,GO:0005509,GO:0044332,GO:0005905,GO:0070062,GO:0001523,GO:0030900,GO:0005764,GO:0016020,GO:0007603,GO:0005515,GO:0005886,GO:0045177,GO:0005783,GO:0044281,GO:0005768,GO:0006898,GO:0017147,GO:0006486,GO:0006629,GO:0006897,GO:0042813,GO:0030139,GO:0005765,GO:0017124
APOPT1	NA	apoptogenic 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:20492]	ENSG00000256053	ENSP00000386485	ENSGALP00000018772	ENSDARP00000122568	3	20,47,143	25	11	3	18,38,135	52	23	3	32,136,179	60	24	GO:0097193,GO:0005739,GO:0043280,GO:0090200,GO:0034393
TFAP2E	NA	transcription factor AP-2 epsilon (activating enhancer binding protein 2 epsilon) [Source:HGNC Symbol;Acc:HGNC:30774]	ENSG00000116819	ENSP00000362332	ENSGALP00000003759	ENSDARP00000140065	5	22,192,203,223,234	107	34	3	211,222,357	21	8	4	217,228,315,333	10	4	GO:0006351,GO:0006357,GO:0046982,GO:0042127,GO:0006366,GO:0005634,GO:0001077,GO:0042803,GO:0048856,GO:0003677,GO:0000981,GO:0045944,GO:0000978,GO:0000977
HSP90B1	NA	heat shock protein 90kDa beta (Grp94), member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	ENSG00000166598	ENSP00000299767	ENSGALP00000020744	ENSDARP00000013441	4	447,465,681,743	72	18	4	446,464,680,742	65	16	4	447,465,681,743	75	18	GO:0045087,GO:0044267,GO:0051082,GO:0005509,GO:0070062,GO:0046790,GO:0043666,GO:0016020,GO:0005515,GO:0031247,GO:0005886,GO:0030433,GO:0048471,GO:0005829,GO:0019903,GO:0034976,GO:0030496,GO:0034663,GO:0005925,GO:0005788,GO:0043066,GO:0005789,GO:0050750,GO:0034975,GO:0003723,GO:0005524,GO:0006457,GO:0002224,GO:0030968,GO:0005576,GO:0071318,GO:0071682,GO:0001666,GO:0051208,GO:0005783,GO:0042470,GO:0030970,GO:0036500,GO:0006898,GO:0006950,GO:0005634,GO:0015031,GO:0031012
RPS6KA1	NA	ribosomal protein S6 kinase, 90kDa, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:10430]	ENSG00000117676	ENSP00000435412	ENSGALP00000000497	ENSDARP00000044377	3	429,641,671	25	7	3	649,679,694	13	8	3	120,290,339	16	5	GO:0004672,GO:0045087,GO:0045944,GO:0005654,GO:0005622,GO:0006468,GO:0034166,GO:0002755,GO:0005515,GO:0034142,GO:0004674,GO:0007411,GO:0007165,GO:0048011,GO:0005829,GO:0000287,GO:0038123,GO:0004711,GO:0005819,GO:0034134,GO:0043066,GO:0034146,GO:0030307,GO:0038124,GO:0007049,GO:0043154,GO:0002224,GO:0005524,GO:0016772,GO:0051403,GO:0035666,GO:2000491,GO:0043027,GO:0007268,GO:0045597,GO:0043555,GO:0035556,GO:0002756,GO:0043620,GO:0072574,GO:0004712,GO:0034138,GO:0005737,GO:0034162,GO:0005634
ADGRA2	2	adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]	ENSG00000020181	ENSP00000406367	ENSGALP00000004917	ENSDARP00000103078	3	921,963,973	16	10	3	501,517,572	21	12	4	1096,1306,1307,1335	267	78	GO:0007186,GO:0009986,GO:0007166,GO:0002040,GO:0004930,GO:0001525,GO:0090210,GO:0004888,GO:0045765,GO:0005515,GO:0005886,GO:0016020,GO:0043542,GO:1900747,GO:0010595,GO:0016021,GO:0007417,GO:0050920
SYN3	NA	synapsin III [Source:HGNC Symbol;Acc:HGNC:11496]	ENSG00000185666	ENSP00000351614	ENSGALP00000020491	ENSDARP00000139998	4	306,488,516,570	205	56	2	68,307	58	17	2	26,96	98	57	GO:0030054,GO:0030672,GO:0097481,GO:0045202,GO:0032228,GO:0003824,GO:0007269,GO:0008021,GO:0005524,GO:0008152
SNRNP48	NA	small nuclear ribonucleoprotein 48kDa (U11/U12) [Source:HGNC Symbol;Acc:HGNC:21368]	ENSG00000168566	ENSP00000339834	ENSGALP00000021206	ENSDARP00000098751	2	67,272	105	34	4	47,261,269,285	146	43	3	107,147,285	156	56	GO:0005689,GO:0005654,GO:0008380,GO:0006397,GO:0046872,GO:0005737
CEP135	9	centrosomal protein 135kDa [Source:HGNC Symbol;Acc:HGNC:29086]	ENSG00000174799	ENSP00000257287	ENSGALP00000036760	ENSDARP00000107420	8	21,50,58,103,111,160,242,297	93	24	7	484,588,631,689,717,729,771	61	15	5	690,740,772,928,971	73	19	GO:0000086,GO:0006996,GO:0005814,GO:0000278,GO:0007099,GO:0005515,GO:0005829,GO:0005813,GO:0010457,GO:0008022
RRAD	NA	Ras-related associated with diabetes [Source:HGNC Symbol;Acc:HGNC:10446]	ENSG00000166592	ENSP00000299759	ENSGALP00000008237	ENSDARP00000068225	4	23,36,173,270	114	32	7	15,28,39,52,98,168,265	62	17	5	15,29,95,165,262	81	23	GO:0015031,GO:0008152,GO:0005516,GO:0005525,GO:0030308,GO:0003924,GO:0007264,GO:0007165,GO:0016020,GO:0005515,GO:0005886,GO:0005622
AATF	8	apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]	ENSG00000275700	ENSP00000477848	ENSGALP00000008693	ENSDARP00000031013	3	412,473,474	35	21	3	54,69,139	176	95	4	375,387,486,487	77	36	GO:0045893,GO:0032929,GO:0097190,GO:0042254,GO:0043066,GO:0040016,GO:0005925,GO:0005737,GO:0044822,GO:0005634,GO:0003700,GO:0043522,GO:0007155,GO:2000378,GO:0042985,GO:0005515,GO:0048156,GO:0006974,GO:0019904,GO:0045944,GO:0005730,GO:0005794,GO:0005813,GO:0007346,GO:0048011,GO:0043065
GAN	NA	gigaxonin [Source:HGNC Symbol;Acc:HGNC:4137]	ENSG00000261609	ENSP00000476795	ENSGALP00000021874	ENSDARP00000131047	3	286,337,547	11	3	3	287,338,548	19	5	2	295,415	11	5	GO:0005515,GO:0005856,GO:0007010,GO:0003674,GO:0005737,GO:0031463,GO:0016567
FAM98A	NA	family with sequence similarity 98, member A [Source:HGNC Symbol;Acc:HGNC:24520]	ENSG00000119812	ENSP00000238823	ENSGALP00000016963	ENSDARP00000128597	4	175,252,259,279	61	29	3	175,259,279	41	20	2	257,275	53	44	GO:0072669,GO:0005515,GO:0044822
LMBR1L	NA	limb development membrane protein 1-like [Source:HGNC Symbol;Acc:HGNC:18268]	ENSG00000139636	ENSP00000267102	ENSGALP00000042678	ENSDARP00000019361	2	182,288	0	0	2	183,254	0	0	4	17,41,178,276	0	0	GO:0006897,GO:0016021,GO:0005886
TIE1	4	tyrosine kinase with immunoglobulin-like and EGF-like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	ENSG00000066056	ENSP00000361554	ENSGALP00000016165	ENSDARP00000016803	3	381,405,426	6	4	2	429,561	20	8	7	392,393,414,425,497,551,659	70	19	GO:0001701,GO:0007165,GO:0005886,GO:0005515,GO:0005887,GO:0006468,GO:0045026,GO:0004672,GO:0001568,GO:0032526,GO:0018108,GO:0001525,GO:0016525,GO:0007498,GO:0001570,GO:0016772,GO:0005524,GO:0004714,GO:0004713,GO:0030336
CRISPLD2	NA	cysteine-rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]	ENSG00000103196	ENSP00000262424	ENSGALP00000009114	ENSDARP00000110563	5	181,275,276,298,373	22	7	5	281,282,304,388,408	34	14	4	277,288,369,418	48	19	GO:0005578,GO:0060325,GO:0005576,GO:0030133,GO:0008201,GO:0030324,GO:0005539,GO:0030198,GO:0070062
